hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
214.44,,1.1,
214.48,1.2,,
214.77,,1.1,
214.83,1.2,,
215.11,,1.1,
215.17,1.2,,
215.44,,1.1,
215.52,1.2,,
215.78,,1.1,
215.86,1.2,,
216.11,,1.1,
216.21,1.2,,
216.46,,1.1,
216.55,1.2,,
216.79,,1.1,
216.9,1.2,,
217.12,,1.1,
217.24,1.2,,
217.46,,1.1,
217.59,1.2,,
217.8,,1.1,
217.93,1.2,,
218.13,,1.1,
218.27,1.2,,
218.46,,1.1,
218.62,1.2,,
218.8,,1.1,
218.96,1.2,,
219.14,,1.1,
219.31,1.2,,
219.47,,1.1,
219.65,1.2,,
219.8,,1.1,
220.0,1.2,,
220.14,,1.1,
220.34,1.2,,
220.47,,1.1,
220.68,1.2,,
220.81,,1.1,
221.03,1.2,,
221.14,,1.1,
221.37,1.2,,
221.48,,1.1,
221.72,1.2,,
221.82,,1.1,
222.06,1.2,,
222.15,,1.1,
222.4,1.2,,
222.49,,1.1,
222.75,1.2,,
222.82,,1.1,
223.09,1.2,,
223.16,,1.1,
223.44,1.2,,
223.49,,1.1,
223.78,1.2,,
223.82,,1.1,
224.13,1.2,,
224.16,,1.1,
224.47,1.2,,
224.5,,1.1,
224.82,1.2,,
224.83,,1.1,
225.16,1.2,,
225.16,,1.1,
225.5,1.2,,
225.5,,1.1,
225.83,,1.1,
225.85,1.2,,
226.17,,1.1,
226.19,1.2,,
226.5,,1.1,
226.54,1.2,,
226.84,,1.1,
226.88,1.2,,
227.17,,1.1,
227.23,1.2,,
227.51,,1.1,
227.57,1.2,,
227.84,,1.1,
227.92,1.2,,
228.18,,1.1,
228.26,1.2,,
228.51,,1.1,
228.61,1.2,,
228.84,,1.1,
228.95,1.2,,
229.18,,1.1,
229.29,1.2,,
229.52,,1.1,
229.64,1.2,,
229.85,,1.1,
229.99,1.2,,
230.18,,1.1,
230.33,1.2,,
230.52,,1.1,
230.67,1.2,,
230.85,,1.1,
231.02,1.2,,
231.19,,1.1,
231.36,1.2,,
231.52,,1.1,
231.71,1.2,,
231.86,,1.1,
232.05,1.2,,
232.19,,1.1,
232.4,1.3,,
232.53,,1.1,
232.75,1.3,,
232.86,,1.1,
233.09,1.3,,
233.2,,1.1,
233.43,1.3,,
233.53,,1.1,
233.78,1.3,,
233.86,,1.1,
