Id,Label,timeset,group,calls,time,memory_in,memory_out
numpy.linalg.linalg.norm,numpy.linalg.linalg.norm,,numpy,2538,0.04724,0,0
pyparsing.core.And.streamline,pyparsing.core.And.streamline,,pyparsing,74,0.046818,0,0
matplotlib.artist.<module>,matplotlib.artist.<module>,,matplotlib,1,0.046806,0,0
matplotlib.artist.ArtistInspector.<listcomp>,matplotlib.artist.ArtistInspector.<listcomp>,,matplotlib,216,0.04501,0,0
cache_from_source,cache_from_source,,cache_from_source,1024,0.044208,0,0
_compile_bytecode,_compile_bytecode,,_compile_bytecode,512,0.044203,0,0
Scheduler.Scheduler.Forbidden_Gridpoint,Scheduler.Scheduler.Forbidden_Gridpoint,,Scheduler,95,0.043165,0,0
pyparsing.core.And.leave_whitespace,pyparsing.core.And.leave_whitespace,,pyparsing,98,0.042819,0,0
matplotlib.font_manager._json_decode,matplotlib.font_manager._json_decode,,matplotlib,2679,0.041842,0,0
matplotlib.rcsetup.validate_cycler,matplotlib.rcsetup.validate_cycler,,matplotlib,17,0.041058,0,0
_path_join,_path_join,,_path_join,4600,0.040732,0,0
AStar.Get_Score,AStar.Get_Score,,AStar,25835,0.03843,0,0
numpy.core.overrides.decorator,numpy.core.overrides.decorator,,numpy,418,0.037127,0,0
pyparsing.core.<listcomp>,pyparsing.core.<listcomp>,,pyparsing,172,0.037084,0,0
sre_compile._compile_info,sre_compile._compile_info,,sre_compile,246,0.0366,0,0
matplotlib.spines.<module>,matplotlib.spines.<module>,,matplotlib,1,0.036294,0,0
Scheduler.Scheduler.Shunt,Scheduler.Scheduler.Shunt,,Scheduler,1,0.035664,0,0
ast._DunderChecker.visit,ast._DunderChecker.visit,,ast,234,0.035262,0,0
pandas.core.arrays.base.<module>,pandas.core.arrays.base.<module>,,pandas,1,0.034282,0,0
Lab.Droplet.<genexpr>,Lab.Droplet.<genexpr>,,Lab,26907,0.033585,0,0
Interpreter.Node.In_Progress,Interpreter.Node.In_Progress,,Interpreter,568,0.033236,0,0
pyparsing.core.And._parseNoCache,pyparsing.core.And._parseNoCache,,pyparsing,63,0.03322,0,0
array_equal,array_equal,,array_equal,1242,0.033052,0,0
Lab.<lambda>,Lab.<lambda>,,Lab,2464,0.032951,0,0
matplotlib.artist.ArtistInspector.aliased_name,matplotlib.artist.ArtistInspector.aliased_name,,matplotlib,4000,0.032271,0,0
ast._DunderChecker.generic_visit,ast._DunderChecker.generic_visit,,ast,234,0.032253,0,0
platform.<module>,platform.<module>,,platform,1,0.032051,0,0
matplotlib.rcsetup.validate_color,matplotlib.rcsetup.validate_color,,matplotlib,428,0.031933,0,0
ModuleSpec.cached,ModuleSpec.cached,,ModuleSpec,1092,0.031452,0,0
Scheduler.Scheduler.<listcomp>,Scheduler.Scheduler.<listcomp>,,Scheduler,123,0.031043,0,0
Lab.<genexpr>,Lab.<genexpr>,,Lab,3955,0.030972,0,0
pyparsing.core.And.parseImpl,pyparsing.core.And.parseImpl,,pyparsing,63,0.030916,0,0
matplotlib.docstring._recursive_subclasses,matplotlib.docstring._recursive_subclasses,,matplotlib,3627,0.030628,0,0
PIL.Image.<module>,PIL.Image.<module>,,PIL,1,0.030297,0,0
sre_parse.Tokenizer.match,sre_parse.Tokenizer.match,,sre_parse,5123,0.030244,0,0
matplotlib.cm.<module>,matplotlib.cm.<module>,,matplotlib,1,0.029958,0,0
Interpreter.Node.<listcomp>,Interpreter.Node.<listcomp>,,Interpreter,548,0.02992,0,0
typing._SpecialForm.__getitem__,typing._SpecialForm.__getitem__,,typing,117,0.029117,0,0
matplotlib.colors.is_color_like,matplotlib.colors.is_color_like,,matplotlib,428,0.028925,0,0
pandas.core.describe.<module>,pandas.core.describe.<module>,,pandas,1,0.028844,0,0
Lab.Droplet.At_Dest,Lab.Droplet.At_Dest,,Lab,1887,0.02856,0,0
importlib.import_module,importlib.import_module,,importlib,10,0.028448,0,0
pandas.core.ops.<module>,pandas.core.ops.<module>,,pandas,1,0.02843,0,0
pandas.util._decorators.Appender.__call__,pandas.util._decorators.Appender.__call__,,pandas,160,0.028407,0,0
_gcd_import,_gcd_import,,_gcd_import,10,0.028169,0,0
_get_cached,_get_cached,,_get_cached,580,0.027039,0,0
matplotlib.rcsetup.f,matplotlib.rcsetup.f,,matplotlib,137,0.027019,0,0
typing._GenericAlias.__init__,typing._GenericAlias.__init__,,typing,230,0.026673,0,0
Lab.Gridpoint.__init__,Lab.Gridpoint.__init__,,Lab,2500,0.026464,0,0
inspect.Parameter.name,inspect.Parameter.name,,inspect,24992,0.026365,0,0
pandas.io.excel.<module>,pandas.io.excel.<module>,,pandas,1,0.026338,0,0
pyparsing.core.And.parse_string,pyparsing.core.And.parse_string,,pyparsing,11,0.025944,0,0
pyparsing.core.Opt.leave_whitespace,pyparsing.core.Opt.leave_whitespace,,pyparsing,30,0.025877,0,0
Lab.Calculate_Shape,Lab.Calculate_Shape,,Lab,1899,0.02571,0,0
matplotlib.rcsetup.<listcomp>,matplotlib.rcsetup.<listcomp>,,matplotlib,138,0.025561,0,0
numpy.core.overrides.verify_matching_signatures,numpy.core.overrides.verify_matching_signatures,,numpy,284,0.025188,0,0
Interpreter.Node.Concluded,Interpreter.Node.Concluded,,Interpreter,384,0.02506,0,0
pyparsing.core.And.copy,pyparsing.core.And.copy,,pyparsing,210,0.024988,0,0
pandas.util._decorators.decorator,pandas.util._decorators.decorator,,pandas,231,0.024571,0,0
matplotlib.cm._gen_cmap_registry,matplotlib.cm._gen_cmap_registry,,matplotlib,1,0.024397,0,0
pandas.core.aggregation.<module>,pandas.core.aggregation.<module>,,pandas,1,0.024356,0,0
ExtensionFileLoader.create_module,ExtensionFileLoader.create_module,,ExtensionFileLoader,68,0.024129,0,0
pandas.core.indexes.api.<module>,pandas.core.indexes.api.<module>,,pandas,1,0.023401,0,0
pandas.core.arrays.categorical.<module>,pandas.core.arrays.categorical.<module>,,pandas,1,0.023389,0,0
pandas.core.ops.array_ops.<module>,pandas.core.ops.array_ops.<module>,,pandas,1,0.022667,0,0
Lab.Droplet.Get_Dest,Lab.Droplet.Get_Dest,,Lab,13405,0.022626,0,0
Lab.Droplet.Get_Shape,Lab.Droplet.Get_Shape,,Lab,1771,0.022538,0,0
Lab.Droplet.Combine,Lab.Droplet.Combine,,Lab,15,0.02197,0,0
functools.update_wrapper,functools.update_wrapper,,functools,930,0.021896,0,0
inspect.isfunction,inspect.isfunction,,inspect,19651,0.021892,0,0
matplotlib.rcsetup.validate_color_for_prop_cycle,matplotlib.rcsetup.validate_color_for_prop_cycle,,matplotlib,239,0.021796,0,0
AStar.<listcomp>,AStar.<listcomp>,,AStar,3312,0.02155,0,0
pandas.core.window.<module>,pandas.core.window.<module>,,pandas,1,0.021251,0,0
SourceFileLoader.get_data,SourceFileLoader.get_data,,SourceFileLoader,512,0.021035,0,0
pandas.core.util.hashing.<module>,pandas.core.util.hashing.<module>,,pandas,1,0.021025,0,0
dot,dot,,dot,2464,0.020818,0,0
matplotlib.patches.pprint_styles,matplotlib.patches.pprint_styles,,matplotlib,3,0.020605,0,0
pandas.core.arrays.boolean.<module>,pandas.core.arrays.boolean.<module>,,pandas,1,0.020562,0,0
numpy.random.<module>,numpy.random.<module>,,numpy,1,0.020514,0,0
Scheduler.Scheduler.Find_Work_Location,Scheduler.Scheduler.Find_Work_Location,,Scheduler,5,0.020464,0,0
matplotlib._api.deprecation.delete_parameter,matplotlib._api.deprecation.delete_parameter,,matplotlib,62,0.020303,0,0
