gridsize vs. memory,,,,,,,,,,,
time+,gs=500,gs=600,gs=700,gs=800,gs=900,gs=1000,gs=1100,gs=1200,gs=1300,gs=1400,gs=1500
14.03,,,,,,,,,,1.9,
14.04,,,0.534,,,,,,,,
14.04,,,,,,,,1.4,,,
14.1,,,,,,,,,,,2.1
14.26,0.326,,,,,,,,,,
14.29,,,,,,,1.2,,,,
14.3,,,,,0.819,,,,,,
14.32,,,,0.658,,,,,,,
14.33,,,,,,,,,1.6,,
14.34,,0.429,,,,,,,,,
14.36,,,,,,1.0,,,,,
14.37,,,,,,,,1.4,,,
14.37,,,,,,,,,,1.9,
14.39,,,0.535,,,,,,,,
14.43,,,,,,,,,,,2.1
14.59,0.326,,,,,,,,,,
14.62,,,,,,,1.2,,,,
14.63,,,,,0.819,,,,,,
14.65,,,,0.659,,,,,,,
14.66,,,,,,,,,1.6,,
14.67,,0.429,,,,,,,,,
14.69,,,,,,1.0,,,,,
14.7,,,,,,,,,,1.9,
14.71,,,0.537,,,,,,,,
14.71,,,,,,,,1.4,,,
14.76,,,,,,,,,,,2.1
14.92,0.326,,,,,,,,,,
14.96,,,,,,,1.2,,,,
14.97,,,,,0.819,,,,,,
14.98,,,,0.661,,,,,,,
15.0,,0.429,,,,,,,,,
15.0,,,,,,,,,1.6,,
15.03,,,,,,1.0,,,,,
15.04,,,,,,,,1.4,,,
15.04,,,,,,,,,,1.9,
15.05,,,0.538,,,,,,,,
15.1,,,,,,,,,,,2.1
15.25,0.326,,,,,,,,,,
15.29,,,,,,,1.2,,,,
15.3,,,,,0.819,,,,,,
15.32,,,,0.663,,,,,,,
15.33,,0.429,,,,,,,,,
15.33,,,,,,,,,1.6,,
15.36,,,,,,1.0,,,,,
15.37,,,,,,,,1.4,,,
15.37,,,,,,,,,,1.9,
15.38,,,0.54,,,,,,,,
15.43,,,,,,,,,,,2.1
15.59,0.326,,,,,,,,,,
15.62,,,,,,,1.2,,,,
15.63,,,,,0.82,,,,,,
15.65,,,,0.664,,,,,,,
15.66,,,,,,,,,1.6,,
15.67,,0.429,,,,,,,,,
15.69,,,,,,1.0,,,,,
15.7,,,,,,,,,,1.9,
15.71,,,0.542,,,,,,,,
15.71,,,,,,,,1.4,,,
15.76,,,,,,,,,,,2.1
15.92,0.326,,,,,,,,,,
15.95,,,,,,,1.2,,,,
15.97,,,,,0.822,,,,,,
15.99,,,,0.666,,,,,,,
15.99,,,,,,,,,1.6,,
16.0,,0.429,,,,,,,,,
16.02,,,,,,1.0,,,,,
16.04,,,,,,,,1.4,,,
16.04,,,,,,,,,,1.9,
16.05,,,0.543,,,,,,,,
16.1,,,,,,,,,,,2.1
16.26,0.326,,,,,,,,,,
16.28,,,,,,,1.2,,,,
16.3,,,,,0.823,,,,,,
16.32,,,,0.667,,,,,,,
16.33,,0.429,,,,,,,,,
16.33,,,,,,,,,1.6,,
16.36,,,,,,1.0,,,,,
16.37,,,,,,,,1.4,,,
16.37,,,,,,,,,,1.9,
16.39,,,0.546,,,,,,,,
16.43,,,,,,,,,,,2.1
16.59,0.326,,,,,,,,,,
16.62,,,,,,,1.2,,,,
16.64,,,,,0.825,,,,,,
16.65,,,,0.669,,,,,,,
16.66,,0.44,,,,,,,,,
16.66,,,,,,,,,1.6,,
16.69,,,,,,1.0,,,,,
16.7,,,,,,,,1.4,,,
16.7,,,,,,,,,,1.9,
16.72,,,0.546,,,,,,,,
16.76,,,,,,,,,,,2.1
16.92,0.326,,,,,,,,,,
16.95,,,,,,,1.2,,,,
16.97,,,,,0.826,,,,,,
16.99,,0.44,,,,,,,,,
16.99,,,,0.671,,,,,,,
16.99,,,,,,,,,1.6,,
17.02,,,,,,1.0,,,,,
17.03,,,,,,,,1.4,,,
17.03,,,,,,,,,,1.9,
17.05,,,0.546,,,,,,,,
17.1,,,,,,,,,,,2.1
17.26,0.326,,,,,,,,,,
17.28,,,,,,,1.2,,,,
17.29,,,,,0.828,,,,,,
17.32,,,,0.672,,,,,,,
17.32,,,,,,,,,1.6,,
17.33,,0.44,,,,,,,,,
17.35,,,,,,1.0,,,,,
17.37,,,,,,,,1.4,,,
17.37,,,,,,,,,,1.9,
17.39,,,0.546,,,,,,,,
17.43,,,,,,,,,,,2.1
17.59,0.326,,,,,,,,,,
17.62,,,,,,,1.2,,,,
17.63,,,,,0.829,,,,,,
17.65,,,,0.674,,,,,,,
17.66,,0.44,,,,,,,,,
17.66,,,,,,,,,1.6,,
17.69,,,,,,1.0,,,,,
17.7,,,,,,,,1.4,,,
17.7,,,,,,,,,,1.9,
17.71,,,0.555,,,,,,,,
17.76,,,,,,,,,,,2.1
17.93,0.326,,,,,,,,,,
17.95,,,,,,,1.2,,,,
17.96,,,,,0.831,,,,,,
17.98,,,,0.675,,,,,,,
17.99,,0.44,,,,,,,,,
17.99,,,,,,,,,1.6,,
18.02,,,,,,1.0,,,,,
18.03,,,,,,,,1.4,,,
18.03,,,,,,,,,,1.9,
18.05,,,0.555,,,,,,,,
18.09,,,,,,,,,,,2.1
18.26,0.326,,,,,,,,,,
18.28,,,,,,,1.2,,,,
18.3,,,,,0.833,,,,,,
18.31,,,,0.677,,,,,,,
18.32,,,,,,,,,1.6,,
18.33,,0.44,,,,,,,,,
18.35,,,,,,1.0,,,,,
18.37,,,,,,,,1.4,,,
18.37,,,,,,,,,,1.9,
18.38,,,0.561,,,,,,,,
18.43,,,,,,,,,,,2.1
18.6,0.326,,,,,,,,,,
18.61,,,,,,,1.2,,,,
18.63,,,,,0.834,,,,,,
18.64,,,,0.679,,,,,,,
18.66,,0.44,,,,,,,,,
18.66,,,,,,,,,1.6,,
18.69,,,,,,1.0,,,,,
18.7,,,,,,,,1.4,,,
18.7,,,,,,,,,,1.9,
18.71,,,0.562,,,,,,,,
18.76,,,,,,,,,,,2.1
18.93,0.326,,,,,,,,,,
18.94,,,,,,,1.2,,,,
18.95,,,,,0.835,,,,,,
18.97,,,,0.68,,,,,,,
18.99,,0.44,,,,,,,,,
18.99,,,,,,,,,1.6,,
19.02,,,,,,1.0,,,,,
19.03,,,,,,,,1.4,,,
19.03,,,,,,,,,,1.9,
19.05,,,0.562,,,,,,,,
19.09,,,,,,,,,,,2.1
19.26,0.326,,,,,,,,,,
19.28,,,,,,,1.2,,,,
19.29,,,,,0.837,,,,,,
19.31,,,,0.682,,,,,,,
19.32,,0.44,,,,,,,,,
19.32,,,,,,,,,1.6,,
19.36,,,,,,1.0,,,,,
19.37,,,,,,,,1.4,,,
19.37,,,,,,,,,,1.9,
19.38,,,0.562,,,,,,,,
19.43,,,,,,,,,,,2.1
19.6,0.326,,,,,,,,,,
19.61,,,,,,,1.2,,,,
19.62,,,,,0.839,,,,,,
19.64,,,,0.684,,,,,,,
19.65,,0.44,,,,,,,,,
19.65,,,,,,,,,1.6,,
19.69,,,,,,1.0,,,,,
19.7,,,,,,,,1.4,,,
19.7,,,,,,,,,,1.9,
19.71,,,0.562,,,,,,,,
19.76,,,,,,,,,,,2.1
19.93,0.326,,,,,,,,,,
19.94,,,,,,,1.2,,,,
19.95,,,,,0.84,,,,,,
19.97,,,,0.685,,,,,,,
19.99,,0.44,,,,,,,,,
19.99,,,,,,,,,1.6,,
20.02,,,,,,1.0,,,,,
20.03,,,,,,,,1.4,,,
20.03,,,,,,,,,,1.9,
20.05,,,0.562,,,,,,,,
20.09,,,,,,,,,,,2.1
20.26,0.326,,,,,,,,,,
20.28,,,,,0.842,,,,,,
20.28,,,,,,,1.2,,,,
20.31,,,,0.687,,,,,,,
20.32,,0.44,,,,,,,,,
20.32,,,,,,,,,1.6,,
20.36,,,,,,1.0,,,,,
20.36,,,,,,,,1.4,,,
20.37,,,,,,,,,,1.9,
20.38,,,0.57,,,,,,,,
20.43,,,,,,,,,,,2.1
20.6,0.326,,,,,,,,,,
20.61,,,,,,,1.2,,,,
20.62,,,,,0.843,,,,,,
20.64,,,,0.688,,,,,,,
20.65,,0.44,,,,,,,,,
20.65,,,,,,,,,1.6,,
20.69,,,,,,1.0,,,,,
20.69,,,,,,,,1.4,,,
20.7,,,,,,,,,,1.9,
20.71,,,0.57,,,,,,,,
20.76,,,,,,,,,,,2.1
20.93,0.326,,,,,,,,,,
20.94,,,,,,,1.2,,,,
20.95,,,,,0.845,,,,,,
20.97,,,,0.692,,,,,,,
20.98,,0.44,,,,,,,,,
20.98,,,,,,,,,1.6,,
21.02,,,,,,1.0,,,,,
21.03,,,,,,,,1.4,,,
21.03,,,,,,,,,,1.9,
21.05,,,0.57,,,,,,,,
21.09,,,,,,,,,,,2.1
21.27,0.326,,,,,,,,,,
21.27,,,,,,,1.2,,,,
21.28,,,,,0.846,,,,,,
21.31,,0.44,,,,,,,,,
21.31,,,,0.693,,,,,,,
21.32,,,,,,,,,1.6,,
21.35,,,,,,1.0,,,,,
21.36,,,,,,,,1.4,,,
21.37,,,,,,,,,,1.9,
21.38,,,0.57,,,,,,,,
21.43,,,,,,,,,,,2.1
21.6,0.326,,,,,,,,,,
21.6,,,,,,,1.2,,,,
21.61,,,,,0.848,,,,,,
21.64,,0.44,,,,,,,,,
21.64,,,,0.693,,,,,,,
21.65,,,,,,,,,1.6,,
21.68,,,,,,1.0,,,,,
21.69,,,,,,,,1.4,,,
21.7,,,,,,,,,,1.9,
21.71,,,0.57,,,,,,,,
21.76,,,,,,,,,,,2.1
21.94,0.326,,,,,,,,,,
21.94,,,,,,,1.2,,,,
21.95,,,,,0.848,,,,,,
21.97,,,,0.693,,,,,,,
21.98,,0.44,,,,,,,,,
21.98,,,,,,,,,1.6,,
22.02,,,,,,1.0,,,,,
22.03,,,,,,,,1.4,,,
22.03,,,,,,,,,,1.9,
22.05,,,0.57,,,,,,,,
22.1,,,,,,,,,,,2.1
22.27,0.326,,,,,,,,,,
22.27,,,,,,,1.2,,,,
22.28,,,,,0.848,,,,,,
22.3,,,,0.693,,,,,,,
22.31,,0.44,,,,,,,,,
22.32,,,,,,,,,1.6,,
22.35,,,,,,1.0,,,,,
22.36,,,,,,,,1.4,,,
22.37,,,,,,,,,,1.9,
22.38,,,0.57,,,,,,,,
22.43,,,,,,,,,,,2.1
22.6,0.326,,,,,,,,,,
22.6,,,,,,,1.2,,,,
22.62,,,,,0.849,,,,,,
22.63,,,,0.693,,,,,,,
22.64,,0.44,,,,,,,,,
22.65,,,,,,,,,1.6,,
22.68,,,,,,1.0,,,,,
22.69,,,,,,,,1.4,,,
22.7,,,,,,,,,,1.9,
22.71,,,0.57,,,,,,,,
22.76,,,,,,,,,,,2.1
22.94,0.326,,,,,,,,,,
22.94,,,,,,,1.2,,,,
22.95,,,,,0.85,,,,,,
22.97,,,,0.693,,,,,,,
22.98,,0.44,,,,,,,,,
22.98,,,,,,,,,1.6,,
23.01,,,,,,1.0,,,,,
23.03,,,,,,,,1.4,,,
23.03,,,,,,,,,,1.9,
23.05,,,0.57,,,,,,,,
23.1,,,,,,,,,,,2.1
23.27,0.326,,,,,,,,,,
23.27,,,,,,,1.2,,,,
23.28,,,,,0.852,,,,,,
23.3,,,,0.693,,,,,,,
23.31,,0.44,,,,,,,,,
